130,762
90,089
163,334
146,416
204,481
293,442
219,744
380,663
195,666
322,105
490,399
364,577
58,487
72,014
177,088
183,206
22,328
98,121
140,249
221,596
86,552
90,440
352,118
16,709
169,271
47,460
275,898
92,270
134,893
54,336
329,629
192,693
223,410
202,009
110,372
209,361
180,888
288,685
277,641
584,312
380,720
165,779
236,191
94,679
111,330
248,540
361,398
98,416
63,981
303,634
86,800
208,942
263,589
88,757
87,316
131,125
214,791
213,523
223,119
190,141
40,163
189,742
243,522
112,035
340,319
403,792
294,998
257,686
251,290
20,030
156,598
100,434
150,415
199,821
116,647
257,168
15,892
14,836
51,800
417,114
7,929
62,499
174,340
138,252
159,722
96,408
116,752
96,128
164,833
68,306
420,383
118,449
146,806
91,828
313,818
170,024
79,539
132,657
222,866
141,328
115,424
58,955
38,136
126,614
203,787
116,393
74,402
22,548
92,365
82,353
126,877
39,683
184,733
170,339
92,796
292,580
35,073
35,910
364,557
99,318
170,044
439,059
470,488
357,771
430,030
73,933
83,735
52,641
138,151
38,858
127,925
49,148
323,159
195,029
129,108
98,240
441,188
153,093
199,637
79,140
120,930
83,837
89,329
239,461
160,427
267,017
155,024
11,625
241,299
22,612
58,050
39,053
243,639
218,856
100,753
327,907
136,962
371,455
101,572
329,667
115,963
168,628
296,856
119,736
109,337
117,836
176,364
117,964
190,672
62,132
171,453
330,865
405,409
223,720
239,713
199,497
49,795
61,673
52,205
72,039
99,700
233,580
150,956
198,003
201,332
160,269
80,208
189,504
144,678
175,169
129,944
142,436
107,196
86,711
56,352
43,214
140,616
206,702
168,478
137,919
51,298
244,433
207,864
97,953
32,952
255,189
133,041
100,125
140,072
201,977
119,388
175,919
266,864
199,475
101,431
365,202
270,031
177,405
175,620
324,270
289,649
139,261
205,318
132,671
256,161
181,938
119,386
90,815
94,161
301,453
101,860
237,380
52,348
13,091
270,564
637,907
99,353
96,998
214,060
215,158
166,624
144,144
173,574
143,082
478,023
323,030
284,337
46,326
141,568
202,882
18,524
49,681
138,104
334,276
43,652
650,381
116,376
53,596
436,236
209,197
192,722
205,115
70,249
138,277
42,582
321,334
151,359
125,369
266,426
364,757
61,749
10,127
193,055
40,274
106,311
153,138
218,336
220,224
376,028
89,408
97,385
161,001
146,664
109,802
414,906
204,841
142,826
267,164
48,349
348,497
268,899
191,541
132,503
486,858
219,577
123,580
168,689
109,114
288,021
138,902
